            6. Чисельність наявного населення в розрізі регіонів                                            ,,,,,,,
"                              районів, міст, селищ міського типу1",,,,,,,
,,,,,,,
,,,        (на 1 січня; осіб),,,,
,2013,2014,2015,,,,
,,,,,,,
УКРАЇНА,"45,553,047","45,426,249","42,929,298",,,,
 Міське населення,"31,378,639","31,336,623","29,673,113",,,,
 Сільське населення,"14,174,408","14,089,626","13,256,185",,,,
,,,,,,,
Автономна Республіка Крим,"1,965,177","1,967,259",…,,,,
 Міське населення,"1,233,135","1,233,536",…,…,…,…,…
 Сільське населення,"732,042","733,723",…,…,…,…,…
  Сімферополь (міськрада),"362,075","363,341",…,…,…,…,…
    Міське населення,"361,904","363,172",…,…,…,…,…
        м. Сімферополь,"337,285","338,319",…,…,…,…,…
        смт Аграрне,"6,034","6,093",…,…,…,…,…
        смт Аерофлотський,"2,325","2,359",…,…,…,…,…
        смт Гресівський,"11,391","11,509",…,…,…,…,…
        смт Комсомольське,"4,869","4,892",…,…,…,…,…
    Сільське населення,171,169,…,…,…,…,…
  Алушта (міськрада),"52,221","52,253",…,…,…,…,…
    Міське населення,"34,507","34,381",…,…,…,…,…
        м. Алушта,"28,418","28,295",…,…,…,…,…
        смт Партеніт,"6,089","6,086",…,…,…,…,…
    Сільське населення,"17,714","17,872",…,…,…,…,…
  Армянськ (міськрада),"24,784","24,759",…,…,…,…,…
    Міське населення,"22,337","22,286",…,…,…,…,…
        м. Армянськ,"22,337","22,286",…,…,…,…,…
    Сільське населення,"2,447","2,473",…,…,…,…,…
  м. Джанкой,"36,086","35,693",…,…,…,…,…
  Євпаторія (міськрада),"123,465","123,666",…,…,…,…,…
    Міське населення,"123,465","123,666",…,…,…,…,…
        м. Євпаторія,"106,877","107,040",…,…,…,…,…
        смт Заозерне,"4,996","5,023",…,…,…,…,…
        смт Мирний,"4,209","4,210",…,…,…,…,…
        смт Новоозерне,"7,383","7,393",…,…,…,…,…
  м. Керч,"145,265","144,626",…,…,…,…,…
  м. Красноперекопськ,"29,815","29,672",…,…,…,…,…
  м. Саки,"23,655","23,391",…,…,…,…,…
__________,,,,,,,
1 Див. виноску до табл. 1,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
  Судак (міськрада),"30,702","30,857",…,,,,
    Міське населення,"16,557","16,649",…,,,,
        м. Судак,"15,457","15,532",…,,,,
        смт Новий Світ,"1,100","1,117",…,,,,
    Сільське населення,"14,145","14,208",…,,,,
  Феодосія (міськрада),"105,065","104,895",…,,,,
    Міське населення,"93,749","93,472",…,,,,
        м. Феодосія,"69,461","69,040",…,,,,
        смт Коктебель,"2,863","2,869",…,,,,
        смт Курортне,340,337,…,,,,
        смт Орджонікідзе,"2,643","2,650",…,,,,
        смт Приморський,"14,938","14,975",…,,,,
        смт Щебетовка,"3,504","3,601",…,,,,
    Сільське населення,"11,316","11,423",…,,,,
  Ялта (міськрада),"141,781","142,137",…,,,,
    Міське населення,"140,340","140,673",…,,,,
        м. Ялта,"78,115","78,200",…,,,,
        м. Алупка,"8,520","8,528",…,,,,
        смт Берегове,487,489,…,,,,
        смт Виноградне,"1,377","1,406",…,,,,
        смт Відрадне,680,694,…,,,,
        смт Восход,452,456,…,,,,
        смт Гаспра,"11,384","11,384",…,,,,
        смт Голуба затока,448,443,…,,,,
        смт Гурзуф,"9,117","9,152",…,,,,
        смт Кацівелі,622,625,…,,,,
        смт Кореїз,"6,304","6,337",…,,,,
        смт Краснокам'янка,"1,014","1,021",…,,,,
        смт Курпати,417,415,…,,,,
        смт Лівадія,"1,634","1,636",…,,,,
        смт Масандра,"8,571","8,623",…,,,,
        смт Нікіта,"2,466","2,475",…,,,,
        смт Ореанда,902,921,…,,,,
        смт Паркове,490,500,…,,,,
        смт Понизівка,380,384,…,,,,
        смт Санаторне,490,490,…,,,,
        смт Симеїз,"3,901","3,919",…,,,,
        смт Совєтське,575,579,…,,,,
        смт Форос,"1,994","1,996",…,,,,
    Сільське населення,"1,441","1,464",…,,,,
  Бахчисарайський район,"91,054","91,571",…,,,,
    Міське населення,"32,866","33,086",…,,,,
        м. Бахчисарай,"26,482","26,651",…,,,,
        смт Куйбишеве,"2,407","2,441",…,,,,
        смт Научний,783,780,…,,,,
        смт Поштове,"3,194","3,214",…,,,,
    Сільське населення,"58,188","58,485",…,,,,
  Білогірський район,"64,166","64,413",…,,,,
    Міське населення,"25,305","25,408",…,,,,
        м. Білогірськ,"18,220","18,252",…,,,,
        смт Зуя,"7,085","7,156",…,,,,
    Сільське населення,"38,861","39,005",…,,,,
  Джанкойський район,"74,131","74,020",…,,,,
    Міське населення,"5,853","5,872",…,,,,
        смт Азовське,"3,798","3,813",…,,,,
        смт Вільне,"2,055","2,059",…,,,,
    Сільське населення,"68,278","68,148",…,,,,
  Кіровський район,"53,961","53,872",…,,,,
    Міське населення,"16,579","16,547",…,,,,
        м. Старий Крим,"9,512","9,478",…,,,,
        смт Кіровське,"7,067","7,069",…,,,,
    Сільське населення,"37,382","37,325",…,,,,
  Красногвардійський район,"91,120","91,269",…,,,,
    Міське населення,"22,338","22,463",…,,,,
        смт Красногвардійське,"10,766","10,779",…,,,,
        смт Октябрське,"11,572","11,684",…,,,,
    Сільське населення,"68,782","68,806",…,,,,
  Красноперекопський район,"29,540","29,518",…,,,,
    Сільське населення,"29,540","29,518",…,,,,
  Ленінський район,"63,041","62,795",…,,,,
    Міське населення,"22,959","22,903",…,,,,
        м. Щолкіне,"11,184","11,169",…,,,,
        смт Леніне,"7,881","7,826",…,,,,
        смт Багерове,"3,894","3,908",…,,,,
    Сільське населення,"40,082","39,892",…,,,,
  Нижньогірський район,"50,567","50,460",…,,,,
    Міське населення,"9,460","9,436",…,,,,
        смт Нижньогірський,"9,460","9,436",…,,,,
    Сільське населення,"41,107","41,024",…,,,,
  Первомайський район,"35,537","35,426",…,,,,
    Міське населення,"9,001","8,964",…,,,,
        смт Первомайське,"9,001","8,964",…,,,,
    Сільське населення,"26,536","26,462",…,,,,
  Роздольненський район,"34,360","34,253",…,,,,
    Міське населення,"10,735","10,718",…,,,,
        смт Роздольне,"7,320","7,291",…,,,,
        смт Новоселівське,"3,415","3,427",…,,,,
    Сільське населення,"23,625","23,535",…,,,,
  Сакський район,"78,025","78,133",…,,,,
    Міське населення,"6,558","6,584",…,,,,
        смт Новофедорівка,"6,558","6,584",…,,,,
    Сільське населення,"71,467","71,549",…,,,,
  Сімферопольський район,"158,375","159,751",…,,,,
    Міське населення,"22,707","22,713",…,,,,
        смт Гвардійське,"12,711","12,702",…,,,,
        смт Молодіжне,"7,235","7,261",…,,,,
        смт Миколаївка,"2,761","2,750",…,,,,
    Сільське населення,"135,668","137,038",…,,,,
  Совєтський район,"34,277","34,370",…,,,,
    Міське населення,"9,996","10,069",…,,,,
        смт Совєтський,"9,996","10,069",…,,,,
    Сільське населення,"24,281","24,301",…,,,,
  Чорноморський район,"32,109","32,118",…,,,,
    Міське населення,"11,098","11,092",…,,,,
        смт Чорноморське,"11,098","11,092",…,,,,
    Сільське населення,"21,011","21,026",…,,,,
,,,,,,,
Вінницька область,"1,627,038","1,618,262","1,610,573",,,,
 Міське населення,"816,061","815,269","814,758",,,,
 Сільське населення,"810,977","802,993","795,815",,,,
  м. Вінниця,"371,698","372,116","372,484",,,,
  м. Жмеринка,"35,390","35,354","35,284",,,,
  Козятин (міськрада),"25,249","25,184","25,179",,,,
    Міське населення,"25,249","25,184","25,179",,,,
        м. Козятин,"24,247","24,180","24,175",,,,
        смт Залізничне,"1,002","1,004","1,004",,,,
  Ладижин (міськрада),"24,234","24,070","24,058",,,,
    Міське населення,"22,961","22,783","22,778",,,,
        м. Ладижин,"22,961","22,783","22,778",,,,
    Сільське населення,"1,273","1,287","1,280",,,,
  Могилів-Подільський (міськрада),"32,253","32,027","31,858",,,,
    Міське населення,"32,056","31,832","31,674",,,,
        м. Могилів-Подільський,"32,056","31,832","31,674",,,,
    Сільське населення,197,195,184,,,,
  м. Хмільник,"28,209","28,275","28,332",,,,
  Барський район,"53,937","53,342","53,007",,,,
    Міське населення,"17,760","17,674","17,698",,,,
        м. Бар,"16,442","16,380","16,409",,,,
        смт Копайгород,"1,318","1,294","1,289",,,,
    Сільське населення,"36,177","35,668","35,309",,,,
  Бершадський район,"61,506","60,974","60,354",,,,
    Міське населення,"13,160","13,098","13,038",,,,
        м. Бершадь,"13,160","13,098","13,038",,,,
    Сільське населення,"48,346","47,876","47,316",,,,
  Вінницький район,"78,181","79,068","79,990",,,,
    Міське населення,"16,970","17,040","17,048",,,,
        смт Вороновиця,"6,591","6,636","6,635",,,,
        смт Десна,"1,333","1,330","1,326",,,,
        смт Стрижавка,"9,046","9,074","9,087",,,,
    Сільське населення,"61,211","62,028","62,942",,,,
  Гайсинський район,"58,556","58,247","57,889",,,,
    Міське населення,"25,855","25,879","25,920",,,,
        м. Гайсин,"25,855","25,879","25,920",,,,
    Сільське населення,"32,701","32,368","31,969",,,,
  Жмеринський район,"35,662","35,287","34,917",,,,
    Міське населення,"4,750","4,739","4,691",,,,
        смт Браїлів,"4,750","4,739","4,691",,,,
    Сільське населення,"30,912","30,548","30,226",,,,
  Іллінецький район,"38,295","38,048","37,823",,,,
    Міське населення,"15,309","15,314","15,301",,,,
        м. Іллінці,"11,366","11,360","11,374",,,,
        смт Дашів,"3,943","3,954","3,927",,,,
    Сільське населення,"22,986","22,734","22,522",,,,
  Калинівський район,"59,403","59,028","58,743",,,,
    Міське населення,"19,291","19,226","19,203",,,,
        м. Калинівка,"19,291","19,226","19,203",,,,
    Сільське населення,"40,112","39,802","39,540",,,,
  Козятинський район,"40,981","40,689","40,409",,,,
    Міське населення,"5,742","5,723","5,712",,,,
        смт Бродецьке,"2,299","2,298","2,282",,,,
        смт Глухівці,"3,443","3,425","3,430",,,,
    Сільське населення,"35,239","34,966","34,697",,,,
  Крижопільський район,"34,820","34,431","34,099",,,,
    Міське населення,"9,011","8,945","8,938",,,,
        смт Крижопіль,"9,011","8,945","8,938",,,,
    Сільське населення,"25,809","25,486","25,161",,,,
  Липовецький район,"39,194","38,736","38,451",,,,
    Міське населення,"15,254","15,175","15,141",,,,
        м. Липовець,"8,727","8,691","8,674",,,,
        смт Турбів,"6,527","6,484","6,467",,,,
    Сільське населення,"23,940","23,561","23,310",,,,
,,,,,,,
,,,,,,,
  Літинський район,"36,539","36,366","36,008",,,,
    Міське населення,"6,719","6,766","6,742",,,,
        смт Літин,"6,719","6,766","6,742",,,,
    Сільське населення,"29,820","29,600","29,266",,,,
  Могилів-Подільський район,"34,106","33,696","33,424",,,,
    Міське населення,"3,909","3,861","3,867",,,,
        смт Вендичани,"3,909","3,861","3,867",,,,
    Сільське населення,"30,197","29,835","29,557",,,,
  Мурованокуриловецький район,"26,734","26,356","26,007",,,,
    Міське населення,"6,039","5,997","5,977",,,,
        смт Муровані Курилівці,"6,039","5,997","5,977",,,,
    Сільське населення,"20,695","20,359","20,030",,,,
  Немирівський район,"51,261","50,715","50,151",,,,
    Міське населення,"19,947","19,828","19,690",,,,
        м. Немирів,"11,900","11,861","11,829",,,,
        смт Брацлав,"5,681","5,635","5,557",,,,
        смт Ситківці,"2,366","2,332","2,304",,,,
    Сільське населення,"31,314","30,887","30,461",,,,
  Оратівський район,"22,356","22,057","21,762",,,,
    Міське населення,"2,882","2,861","2,874",,,,
        смт Оратів,"2,882","2,861","2,874",,,,
    Сільське населення,"19,474","19,196","18,888",,,,
  Піщанський район,"21,667","21,399","21,206",,,,
    Міське населення,"6,491","6,445","6,454",,,,
        смт Піщанка,"5,318","5,282","5,296",,,,
        смт Рудниця,"1,173","1,163","1,158",,,,
    Сільське населення,"15,176","14,954","14,752",,,,
  Погребищенський район,"31,512","31,144","30,675",,,,
    Міське населення,"9,898","9,814","9,765",,,,
        м. Погребище,"9,898","9,814","9,765",,,,
    Сільське населення,"21,614","21,330","20,910",,,,
  Теплицький район,"29,772","29,312","28,886",,,,
    Міське населення,"6,456","6,415","6,376",,,,
        смт Теплик,"6,456","6,415","6,376",,,,
    Сільське населення,"23,316","22,897","22,510",,,,
  Тиврівський район,"43,486","43,212","42,867",,,,
    Міське населення,"22,990","22,992","22,869",,,,
        м. Гнівань,"12,587","12,577","12,570",,,,
        смт Тиврів,"4,252","4,247","4,162",,,,
        смт Сутиски,"6,151","6,168","6,137",,,,
    Сільське населення,"20,496","20,220","19,998",,,,
,,,,,,,
  Томашпільський район,"34,627","34,274","34,019",,,,
    Міське населення,"13,406","13,337","13,335",,,,
